doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type;Funder_paid
10.1021/jacs.3c00932;American Chemical Society;YFA_ACS;;Cagla Sahin;april;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acs.analchem.3c01197;American Chemical Society;YFA_ACS;;Luca Andronico;juni;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acs.analchem.3c02384;American Chemical Society;YFA_ACS;;Michael Landreh;juli;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acsabm.3c00447;American Chemical Society;YFA_ACS;;Ola Hermanson;augusti;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acs.jcim.3c00625;American Chemical Society;YFA_ACS;;Lars Norlen;juli;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00332;American Chemical Society;YFA_ACS;;Katarina Varnäs;augusti;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acsnano.3c05600;American Chemical Society;YFA_ACS;;Bengt Fadeel;augusti;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00458;American Chemical Society;YFA_ACS;;Magnus Schou;september;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acs.analchem.3c01427;American Chemical Society;YFA_ACS;;Vladana Vukojevic;september;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/jasms.3c00242;American Chemical Society;YFA_ACS;;Akos Vegvari;september;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acs.accounts.3c00370;American Chemical Society;YFA_ACS;;Axel Abelein;september;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00646;American Chemical Society;YFA_ACS;;;december;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00409;American Chemical Society;YFA_ACS;;;december;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acsptsci.3c00214;American Chemical Society;YFA_ACS;;;oktober;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acs.est.3c06388;American Chemical Society;YFA_ACS;;;december;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1001/jamanetworkopen.2023.10316;American Medical Association;YFA_AMA_2023;;Jonas Ludvigsson;mars;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.18053;American Medical Association;YFA_AMA_2023;;Yuqi Zhang;maj;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.18212;American Medical Association;YFA_AMA_2023;;Lorena Fernández de la Cruz;maj;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.21165;American Medical Association;YFA_AMA_2023;;Johan Isaksson;maj;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.22056;American Medical Association;YFA_AMA_2023;;Juan Carrero;maj;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.22069;American Medical Association;YFA_AMA_2023;;Johan Bjureberg;maj;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.23752;American Medical Association;YFA_AMA_2023;;Erwei Zeng;juni;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.25482;American Medical Association;YFA_AMA_2023;;Christina-Evmorfia Kampitsi;juni;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.32408;American Medical Association;YFA_AMA_2023;;Mattias Soop;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.32900;American Medical Association;YFA_AMA_2023;;Ugo Falagario;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.33347;American Medical Association;YFA_AMA_2023;;Agneta Åkesson;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.34545;American Medical Association;YFA_AMA_2023;;Yihui Yang;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.34675;American Medical Association;YFA_AMA_2023;;Anna He;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.36213;American Medical Association;YFA_AMA_2023;;Fang Fang;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
10.1001/jamanetworkopen.2023.36621;American Medical Association;YFA_AMA_2023;;Shengxin Liu;augusti;2023;;3000,00;List Price;EUR;;Guld;FALSE
